branch_id,branch_name,month,review_count,average_rating,average_sentiment_score,negative_ratio,is_zero_volume,is_observed,anomaly_score,is_anomaly,alert_reasons,alert_severity
banjara_hills,Banjara Hills,2025-08,47,4.0213,0.017628,0.0426,False,True,0.087033,False,[],low
jubilee_hills,Jubilee Hills,2018-12,316,4.2785,0.066186,0.0095,False,True,0.0873,False,[],low
banjara_hills,Banjara Hills,2024-09,64,3.7969,0.060921,0.0156,False,True,0.088228,False,[],low
jubilee_hills,Jubilee Hills,2020-05,32,4.3438,0.070028,0.0,False,True,0.088417,False,[],low
gachibowli,Gachibowli,2025-02,29,4.2414,0.046589,0.0,False,True,0.09031,False,[],low
banjara_hills,Banjara Hills,2023-01,40,4.0,0.026874,0.0,False,True,0.090559,False,[],low
jubilee_hills,Jubilee Hills,2025-01,65,3.9385,0.020145,0.0462,False,True,0.0913,False,[],low
banjara_hills,Banjara Hills,2023-03,42,3.9524,0.059449,0.0476,False,True,0.091444,False,[],low
jubilee_hills,Jubilee Hills,2018-06,102,4.2353,0.068084,0.0098,False,True,0.092082,False,[],low
banjara_hills,Banjara Hills,2022-06,46,4.1087,0.074105,0.0,False,True,0.092484,False,[],low
banjara_hills,Banjara Hills,2024-10,63,3.8254,0.016046,0.0476,False,True,0.09268,False,[],low
banjara_hills,Banjara Hills,2024-08,69,3.8696,0.046926,0.0,False,True,0.093039,False,[],low
banjara_hills,Banjara Hills,2024-11,32,4.0938,0.067888,0.0312,False,True,0.093759,False,[],low
banjara_hills,Banjara Hills,2025-01,23,4.3043,0.066262,0.0,False,True,0.09385,False,[],low
gachibowli,Gachibowli,2023-12,81,4.321,0.057365,0.0123,False,True,0.093986,False,[],low
gachibowli,Gachibowli,2024-07,66,4.0152,0.022653,0.0152,False,True,0.09423,False,[],low
gachibowli,Gachibowli,2023-11,87,4.069,0.051402,0.0,False,True,0.094244,False,[],low
gachibowli,Gachibowli,2024-05,68,3.8971,0.033741,0.0588,False,True,0.094735,False,[],low
jubilee_hills,Jubilee Hills,2023-12,195,3.9897,0.044817,0.0308,False,True,0.095102,False,[],low
gachibowli,Gachibowli,2025-08,49,3.9796,0.019352,0.0204,False,True,0.096316,False,[],low
jubilee_hills,Jubilee Hills,2021-05,32,4.25,0.070003,0.0,False,True,0.096386,False,['review_volume_shift_vs_previous_month'],medium
gachibowli,Gachibowli,2024-06,51,4.0,0.039579,0.0588,False,True,0.096458,False,[],low
banjara_hills,Banjara Hills,2022-01,154,4.2143,0.059932,0.0065,False,True,0.096681,False,[],low
jubilee_hills,Jubilee Hills,2020-09,198,4.2172,0.064216,0.0101,False,True,0.097006,False,['review_volume_shift_vs_previous_month'],medium
